,city,state_l,metro,revenue,url,industry,workers,rank,id,yrs_on_list,growth,ifmid,ifiid,state_s,company
4452,Tucker,Georgia,Atlanta,20688460,exhibitus,Advertising & Marketing,82,4450,44458,1,57.6518,29,5,GA,Exhibitus
4468,Columbia,Missouri,"Jefferson City, MO",20854778,division-d,Advertising & Marketing,43,4466,21850,4,57.3066,236,5,MO,Division-D
4523,Reston,Virginia,"Washington, DC",25991794,resonate,Advertising & Marketing,81,4521,21146,5,55.4379,3,5,VA,Resonate
4535,King of Prussia,Pennsylvania,Philadelphia,23386026,remindermedia,Advertising & Marketing,145,4533,44473,1,55.2015,49,5,PA,ReminderMedia
4540,Louisville,Kentucky,"Louisville/Jefferson County, KY-IN",13277397,doe-anderson,Advertising & Marketing,98,4538,44474,1,55.0095,630,5,KY,Doe-Anderson
4560,Scottsdale,Arizona,Phoenix,28157890,real-world-marketing,Advertising & Marketing,28,4558,37883,2,54.3911,46,5,AZ,Real World Marketing
4579,Austin,Texas,Austin,10114191,somnio,Advertising & Marketing,65,4577,21905,3,53.7506,18,5,TX,Somnio
4592,Milwaukee,Wisconsin,"Milwaukee-Waukesha-West Allis, WI",6621863,ascedia,Advertising & Marketing,57,4590,38297,2,53.4398,27,5,WI,Ascedia
4596,San Francisco,California,San Francisco,95010477,w2o-group,Advertising & Marketing,427,4594,1511,8,53.2301,4,5,CA,W2O Group
4600,Dallas,Texas,Dallas,5832000,meyer-dunlap,Advertising & Marketing,13,4598,44486,1,53.0307,8,5,TX,Meyer Dunlap
4602,Carrollton,Texas,Dallas,32019788,the-trade-group,Advertising & Marketing,121,4600,25646,3,52.9958,8,5,TX,The Trade Group
4610,Indianapolis,Indiana,"Indianapolis, IN",6655186,trendyminds,Advertising & Marketing,47,4608,23065,4,52.693,81,5,IN,TrendyMinds
4619,Blue Bell,Pennsylvania,Philadelphia,7054916,gen3-marketing,Advertising & Marketing,34,4617,24868,3,52.5039,49,5,PA,Gen3 Marketing
4648,Raleigh,North Carolina,"Raleigh, NC",5191825,consultwebs,Advertising & Marketing,48,4646,44500,1,51.5569,1029,5,NC,Consultwebs
4704,Memphis,Tennessee,"Memphis, TN-MS-AR",20590019,archer-malmo,Advertising & Marketing,180,4702,9495,5,49.8858,105,5,TN,Archer Malmo
4707,Chicago,Illinois,Chicago,5915800,envisionit,Advertising & Marketing,46,4705,543,6,49.8411,17,5,IL,envisionit
4747,Indianapolis,Indiana,"Indianapolis, IN",12601197,omnisource-marketing-group,Advertising & Marketing,39,4745,44519,1,48.5688,81,5,IN,OmniSource Marketing Group
4763,Santa Clara,California,San Jose,23054612,milestone-internet-marketing,Advertising & Marketing,113,4761,26177,3,48.108,20,5,CA,Milestone Internet Marketing
4780,New Orleans,Louisiana,"New Orleans-Metairie, LA",6842311,search-influence,Advertising & Marketing,89,4778,19497,6,47.6834,1010,5,LA,Search Influence
