,AGENCY-COMPANY,HEADQUARTERS,2012-REVENUE,% CHG,AGENCY-NAME,AGENCY-OWNER
258,Inter/Media Advertising*,"Woodland Hills, Calif.",29198000,12.3,Inter/Media Advertising,Independent
259,Amp Agency,Boston,29048000,26.0,Amp Agency,Independent
260,Lopez Negrete Communications,Houston,29017000,2.7,Lopez Negrete Communications,Independent
261,RTC* [WPP],Washington,29000000,11.5,RTC ,WPP
262,Martin Williams* [Omnicom],Minneapolis,28875000,0.0,Martin Williams ,Omnicom
263,Ayzenberg Group,"Pasadena, Calif.",28800000,14.7,Ayzenberg Group,Independent
264,FutureBrand* [Interpublic],London,28500000,9.6,FutureBrand ,Interpublic
265,SK&G,Las Vegas,28100000,,SK&G,Independent
266,Enlighten,"Ann Arbor, Mich.",28000000,12.0,Enlighten,Independent
267,CMD,"Portland, Ore.",27218000,0.4,CMD,Independent
268,BKV,"Overland Park, Kan.",27200000,-0.7,BKV,Independent
269,Lunchbox* [WPP],Los Angeles,27000000,,Lunchbox ,WPP
270,WDCW,Seattle,27000000,8.0,WDCW,Independent
271,Fusion Marketing,St. Louis,26900000,24.0,Fusion Marketing,Independent
272,T3,"Austin, Texas",26729000,16.3,T3,Independent
273,Conill* [Publicis],"Torrance, Calif.",26663000,14.6,Conill ,Publicis
274,Finn Partners [Ruder Finn Group],New York,26546000,15.1,Finn Partners ,Ruder Finn Group
275,Fitch* [WPP],"Columbus, Ohio",26351000,34.0,Fitch ,WPP
276,MMGY Global,"Kansas City, Mo.",26172000,0.7,MMGY Global,Independent
277,CMI/Compas,"King of Prussia, Pa.",26000000,0.0,CMI/Compas,Independent
278,Dudnyk Exchange*,"Horsham, Pa.",26000000,6.1,Dudnyk Exchange,Independent
279,Adcom Group,Cleveland,25944000,25.7,Adcom Group,Independent
280,Giant,San Francisco,25900000,44.7,Giant,Independent
281,Alcone Marketing* [Omnicom],"Irvine, Calif.",25874000,4.1,Alcone Marketing ,Omnicom
282,CCG Marketing Solutions*,"West Caldwell, N.J.",25760000,10.0,CCG Marketing Solutions,Independent
283,Heartbeat Ideas,New York,25349000,58.1,Heartbeat Ideas,Independent
284,Dailey* [Interpublic],"West Hollywood, Calif.",25300000,10.0,Dailey ,Interpublic
285,Gotham* [Interpublic],New York,25200000,-10.0,Gotham ,Interpublic
286,Wire Stone,San Francisco,25200000,1.8,Wire Stone,Independent
287,Allison & Partners* [MDC Partners],San Francisco,25021000,29.0,Allison & Partners ,MDC Partners
288,Discovery Chicago* [Publicis],Chicago,25000000,92.3,Discovery Chicago ,Publicis
289,Integrated Media Solutions* [MDC Partners],New York,24750000,-19.6,Integrated Media Solutions ,MDC Partners
290,Osborn Barr,St. Louis,24500000,3.6,Osborn Barr,Independent
291,Magnani Caruso Dutton,New York,24500000,5.4,Magnani Caruso Dutton,Independent
292,Empower MediaMarketing*,Cincinnati,24115000,6.0,Empower MediaMarketing,Independent
293,CDM Princeton* [Omnicom],"Princeton, N.J.",24000000,,CDM Princeton ,Omnicom
294,Peter A. Mayer Advertising,New Orleans,23926000,33.5,Peter A. Mayer Advertising,Independent
295,Big Fuel* [Publicis],New York,23860000,-14.8,Big Fuel ,Publicis
296,KSL Media*,New York,23680000,5.2,KSL Media,Independent
297,Berry Network Digital Advertising*,"Dayton, Ohio",23500000,,Berry Network Digital Advertising,Independent
298,Vitro* [MDC Partners],San Diego,23212000,,Vitro ,MDC Partners
299,Blue State Digital* [WPP],New York,23169000,6.0,Blue State Digital ,WPP
300,Fahlgren Mortine,"Columbus, Ohio",23001000,4.9,Fahlgren Mortine,Independent
301,Burrell Communications Group* [Publicis],Chicago,23000000,0.0,Burrell Communications Group ,Publicis
302,Designkitchen* [WPP],Chicago,23000000,35.3,Designkitchen ,WPP
303,Just Marketing International*,"Zionsville, Ind.",23000000,0.0,Just Marketing International,Independent
304,TM Advertising* [Interpublic],Dallas,22962000,-3.5,TM Advertising ,Interpublic
305,Eleven,San Francisco,22944000,3.9,Eleven,Independent
306,Regan Communications [Regan Communications Group],Boston,22906000,10.0,Regan Communications ,Regan Communications Group
